Date,Open,High,Low,Close,Direction,Buy Swing,Sell Swing
11/12/2015,5123,5154,5078,5100,DOWN,31,45
11/13/2015,5099,5101,5003,5019,DOWN,2,96
11/14/2015,5018,5025,4977,4981,DOWN,7,41
11/16/2015,4965,5030,4955,5002,UP,65,10
11/17/2015,5002,5128,4990,5114,UP,126,13
11/18/2015,5113,5150,5084,5136,UP,37,29
11/19/2015,5136,5283,5135,5277,UP,147,1
11/20/2015,5276,5292,5235,5290,UP,16,41
11/21/2015,5289,5294,5254,5265,DOWN,5,35
11/23/2015,5261,5291,5235,5285,UP,30,26
11/24/2015,5284,5297,5205,5209,DOWN,14,79
11/25/2015,5210,5252,5186,5212,UP,42,24
11/26/2015,5212,5261,5178,5251,UP,49,34
11/27/2015,5252,5268,5174,5193,DOWN,16,78
11/28/2015,5194,5204,5179,5202,UP,10,15
11/30/2015,5191,5214,5161,5189,DOWN,23,30
12/01/2015,5188,5285,5160,5248,UP,97,28
12/02/2015,5247,5279,5233,5261,UP,32,14
12/03/2015,5206,5266,5190,5239,UP,60,16
12/04/2015,5240,5244,5114,5143,DOWN,5,126
12/05/2015,5143,5188,5120,5183,UP,45,24
12/07/2015,5199,5243,5142,5164,DOWN,44,57
12/08/2015,5163,5163,5074,5074,DOWN,0,89
12/09/2015,5073,5122,5057,5065,DOWN,50,16
12/10/2015,5065,5109,4993,5016,DOWN,45,72
12/11/2015,5016,5069,4979,4981,DOWN,53,37
12/12/2015,4981,4995,4925,4928,DOWN,14,56
12/14/2015,4947,4980,4898,4902,DOWN,33,49
12/15/2015,4903,4970,4864,4934,UP,67,40
12/16/2015,4933,5031,4928,5026,UP,97,5
12/17/2015,5027,5144,5007,5131,UP,117,20
12/18/2015,5131,5134,5023,5110,DOWN,3,108
12/19/2015,5111,5133,5065,5074,DOWN,22,46
12/21/2015,5063,5159,5051,5157,UP,96,13
12/22/2015,5158,5182,5101,5115,DOWN,24,58
12/23/2015,5114,5197,5096,5192,UP,83,18
12/24/2015,5193,5236,5187,5202,UP,43,6
12/25/2015,5201,5216,5194,5196,DOWN,15,8
12/28/2015,5199,5206,5173,5178,DOWN,7,26
12/29/2015,5178,5316,5164,5309,UP,137,14
12/30/2015,5309,5359,5307,5347,UP,50,2
12/31/2015,5347,5349,5285,5292,DOWN,2,63
01/01/2016,5292,5307,5259,5273,DOWN,15,33
01/04/2016,5291,5340,5244,5257,DOWN,49,47
01/05/2016,5258,5275,5169,5190,DOWN,17,89
01/06/2016,5191,5229,5095,5097,DOWN,38,96
01/07/2016,5097,5141,4940,4952,DOWN,44,157
01/08/2016,4951,5044,4924,4957,UP,93,27
01/09/2016,4958,4987,4890,4903,DOWN,30,68
01/11/2016,4907,4951,4881,4923,UP,45,26
01/12/2016,4922,4986,4877,4932,UP,65,45
01/13/2016,4961,4997,4906,4968,UP,36,55
01/14/2016,4968,4983,4861,4917,DOWN,15,107
01/15/2016,4917,5000,4893,4925,UP,83,24
